,O*NET-SOC Code,Title,Element Name,ability_score
0,11-1011.00,Chief Executives,Deductive Reasoning,1.7005977701937627
4,11-1011.00,Chief Executives,Mathematical Reasoning,1.2403982129924693
5,11-1011.00,Chief Executives,Memorization,1.5134265787124048
6,11-1011.00,Chief Executives,Perceptual Speed,0.4352578077844902
7,11-1011.00,Chief Executives,Problem Sensitivity,1.695923432803498
8,11-1011.00,Chief Executives,Selective Attention,0.12592746916040956
10,11-1011.00,Chief Executives,Speed of Closure,1.3824317898250176
11,11-1011.00,Chief Executives,Time Sharing,0.8450012669957117
13,11-1011.00,Chief Executives,Written Comprehension,1.5293766695010196
14,11-1011.03,Chief Sustainability Officers,Deductive Reasoning,1.4121011333548272
18,11-1011.03,Chief Sustainability Officers,Mathematical Reasoning,0.2906089301058982
19,11-1011.03,Chief Sustainability Officers,Memorization,0.3094277204731711
20,11-1011.03,Chief Sustainability Officers,Perceptual Speed,-1.4002284360170236
21,11-1011.03,Chief Sustainability Officers,Problem Sensitivity,0.7562940823295278
22,11-1011.03,Chief Sustainability Officers,Selective Attention,0.12592746916040956
24,11-1011.03,Chief Sustainability Officers,Speed of Closure,-0.027604048148271273
25,11-1011.03,Chief Sustainability Officers,Time Sharing,-0.2715205480371939
27,11-1011.03,Chief Sustainability Officers,Written Comprehension,0.7431902428411552
28,11-1021.00,General and Operations Managers,Deductive Reasoning,0.7935036078380787
32,11-1021.00,General and Operations Managers,Mathematical Reasoning,0.46804765937354564
33,11-1021.00,General and Operations Managers,Memorization,-0.42192043462789586
34,11-1021.00,General and Operations Managers,Perceptual Speed,-1.146384593789155
35,11-1021.00,General and Operations Managers,Problem Sensitivity,0.7562940823295278
36,11-1021.00,General and Operations Managers,Selective Attention,-0.5243633522750724
38,11-1021.00,General and Operations Managers,Speed of Closure,-0.4250171703218978
39,11-1021.00,General and Operations Managers,Time Sharing,0.6419578594047268
41,11-1021.00,General and Operations Managers,Written Comprehension,0.5329799683331701
42,11-2011.00,Advertising and Promotions Managers,Deductive Reasoning,1.1666259248164352
46,11-2011.00,Advertising and Promotions Managers,Mathematical Reasoning,0.5583590517577315
47,11-2011.00,Advertising and Promotions Managers,Memorization,0.015901816739521613
48,11-2011.00,Advertising and Promotions Managers,Perceptual Speed,-0.03337697786696023
49,11-2011.00,Advertising and Promotions Managers,Problem Sensitivity,0.35602644140784107
50,11-2011.00,Advertising and Promotions Managers,Selective Attention,-0.752843911157809
52,11-2011.00,Advertising and Promotions Managers,Speed of Closure,0.40988434684958647
53,11-2011.00,Advertising and Promotions Managers,Time Sharing,-0.49148423959409415
55,11-2011.00,Advertising and Promotions Managers,Written Comprehension,0.5329799683331701
56,11-2021.00,Marketing Managers,Deductive Reasoning,1.0487978247180065
60,11-2021.00,Marketing Managers,Mathematical Reasoning,1.0249679124093594
61,11-2021.00,Marketing Managers,Memorization,0.9581446337668664
62,11-2021.00,Marketing Managers,Perceptual Speed,-0.03337697786696023
63,11-2021.00,Marketing Managers,Problem Sensitivity,0.240540081673263
64,11-2021.00,Marketing Managers,Selective Attention,-0.5243633522750724
66,11-2021.00,Marketing Managers,Speed of Closure,0.8814908795221273
67,11-2021.00,Marketing Managers,Time Sharing,0.25420135185249865
69,11-2021.00,Marketing Managers,Written Comprehension,0.633880900097003
70,11-2022.00,Sales Managers,Deductive Reasoning,0.6756755077396502
74,11-2022.00,Sales Managers,Mathematical Reasoning,0.9057105609276773
75,11-2022.00,Sales Managers,Memorization,1.342934894123583
76,11-2022.00,Sales Managers,Perceptual Speed,-0.9120672009634295
77,11-2022.00,Sales Managers,Problem Sensitivity,0.5087321620145204
78,11-2022.00,Sales Managers,Selective Attention,-0.9710111114798667
80,11-2022.00,Sales Managers,Speed of Closure,1.0574971453042241
81,11-2022.00,Sales Managers,Time Sharing,-0.6409467479596802
83,11-2022.00,Sales Managers,Written Comprehension,0.5329799683331701
84,11-2033.00,Fundraising Managers,Deductive Reasoning,0.7935036078380787
88,11-2033.00,Fundraising Managers,Mathematical Reasoning,0.5583590517577315
89,11-2033.00,Fundraising Managers,Memorization,0.46699439888078076
90,11-2033.00,Fundraising Managers,Perceptual Speed,-1.5198170905777084
91,11-2033.00,Fundraising Managers,Problem Sensitivity,-0.24065308388747914
92,11-2033.00,Fundraising Managers,Selective Attention,-1.2288450754968443
94,11-2033.00,Fundraising Managers,Speed of Closure,-0.3031666786265999
95,11-2033.00,Fundraising Managers,Time Sharing,0.0640650839534615
97,11-2033.00,Fundraising Managers,Written Comprehension,0.529952940380255
98,11-3012.00,Administrative Services Managers,Deductive Reasoning,0.30255319076129417
102,11-3012.00,Administrative Services Managers,Mathematical Reasoning,-0.11945882377528783
103,11-3012.00,Administrative Services Managers,Memorization,0.46699439888078076
104,11-3012.00,Administrative Services Managers,Perceptual Speed,-0.6300184873769087
