,O*NET-SOC Code,Title,Element Name,activity_score
0,11-1011.00,Chief Executives,Analyzing Data or Information,1.1136416286877664
1,11-1011.00,Chief Executives,Assisting and Caring for Others,0.04578108970376047
2,11-1011.00,Chief Executives,Coaching and Developing Others,3.276915042175017
3,11-1011.00,Chief Executives,Communicating with People Outside the Organization,1.999984875540586
4,11-1011.00,Chief Executives,"Communicating with Supervisors, Peers, or Subordinates",2.102812588654608
5,11-1011.00,Chief Executives,Controlling Machines and Processes,-0.7665047636809079
6,11-1011.00,Chief Executives,Coordinating the Work and Activities of Others,2.494956279412878
7,11-1011.00,Chief Executives,Developing Objectives and Strategies,2.994050634809756
8,11-1011.00,Chief Executives,Developing and Building Teams,3.4440790851019747
9,11-1011.00,Chief Executives,Documenting/Recording Information,0.015629441228562992
10,11-1011.00,Chief Executives,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.5709634676504741
11,11-1011.00,Chief Executives,Establishing and Maintaining Interpersonal Relationships,2.8502726623653425
12,11-1011.00,Chief Executives,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.180091281653794
13,11-1011.00,Chief Executives,Evaluating Information to Determine Compliance with Standards,1.63084811889105
14,11-1011.00,Chief Executives,Getting Information,0.8701597472725283
15,11-1011.00,Chief Executives,"Guiding, Directing, and Motivating Subordinates",3.7745189027267765
16,11-1011.00,Chief Executives,Handling and Moving Objects,-1.013825223549781
17,11-1011.00,Chief Executives,"Identifying Objects, Actions, and Events",1.1789210923298394
18,11-1011.00,Chief Executives,"Inspecting Equipment, Structures, or Materials",-0.8609495004950263
19,11-1011.00,Chief Executives,Interpreting the Meaning of Information for Others,0.43236685994183366
20,11-1011.00,Chief Executives,"Judging the Qualities of Objects, Services, or People",1.6649765533685599
21,11-1011.00,Chief Executives,Making Decisions and Solving Problems,2.0730315239000516
22,11-1011.00,Chief Executives,"Monitoring Processes, Materials, or Surroundings",1.470004504245844
23,11-1011.00,Chief Executives,Monitoring and Controlling Resources,2.8473647970980673
24,11-1011.00,Chief Executives,"Operating Vehicles, Mechanized Devices, or Equipment",-0.159701921041694
25,11-1011.00,Chief Executives,"Organizing, Planning, and Prioritizing Work",1.7718319813705952
26,11-1011.00,Chief Executives,Performing Administrative Activities,2.422361146294861
27,11-1011.00,Chief Executives,Performing General Physical Activities,-0.9345863011569927
28,11-1011.00,Chief Executives,Performing for or Working Directly with the Public,1.0775796351337223
29,11-1011.00,Chief Executives,Processing Information,1.138977098979967
30,11-1011.00,Chief Executives,Providing Consultation and Advice to Others,2.0173162900612134
31,11-1011.00,Chief Executives,Repairing and Maintaining Electronic Equipment,-0.8785524860196404
32,11-1011.00,Chief Executives,Repairing and Maintaining Mechanical Equipment,-0.9421391878696299
33,11-1011.00,Chief Executives,Resolving Conflicts and Negotiating with Others,2.905889044526748
34,11-1011.00,Chief Executives,Scheduling Work and Activities,1.182984925738521
35,11-1011.00,Chief Executives,Selling or Influencing Others,2.664556220592005
36,11-1011.00,Chief Executives,Staffing Organizational Units,3.2730051984546233
37,11-1011.00,Chief Executives,Thinking Creatively,0.8896133802560565
38,11-1011.00,Chief Executives,Training and Teaching Others,1.2032046882449425
39,11-1011.00,Chief Executives,Updating and Using Relevant Knowledge,0.7294854540599223
40,11-1011.00,Chief Executives,Working with Computers,0.037306313385392594
41,11-1011.03,Chief Sustainability Officers,Analyzing Data or Information,0.9837524040612526
42,11-1011.03,Chief Sustainability Officers,Assisting and Caring for Others,-0.36243598598679827
43,11-1011.03,Chief Sustainability Officers,Coaching and Developing Others,1.5250140947023838
44,11-1011.03,Chief Sustainability Officers,Communicating with People Outside the Organization,2.3923029614632063
45,11-1011.03,Chief Sustainability Officers,"Communicating with Supervisors, Peers, or Subordinates",2.2891775199786326
46,11-1011.03,Chief Sustainability Officers,Controlling Machines and Processes,-1.065789916638823
47,11-1011.03,Chief Sustainability Officers,Coordinating the Work and Activities of Others,1.9775362588033716
48,11-1011.03,Chief Sustainability Officers,Developing Objectives and Strategies,3.007966794963831
49,11-1011.03,Chief Sustainability Officers,Developing and Building Teams,2.382781166228675
50,11-1011.03,Chief Sustainability Officers,Documenting/Recording Information,-0.3252893189234011
51,11-1011.03,Chief Sustainability Officers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.13234822161192888
52,11-1011.03,Chief Sustainability Officers,Establishing and Maintaining Interpersonal Relationships,2.4623294796354354
53,11-1011.03,Chief Sustainability Officers,"Estimating the Quantifiable Characteristics of Products, Events, or Information",1.5284647131984093
54,11-1011.03,Chief Sustainability Officers,Evaluating Information to Determine Compliance with Standards,0.5149532439666537
